ticker,exchange,currency,name,country,isin
ACER,NASDAQ,USD,Acer Therapeutics Inc,USA,US00444P1084
ACET,NASDAQ,USD,Adicet Bio Inc,USA,US0070021086
ACGL,NASDAQ,USD,Arch Capital Group Ltd,USA,BMG0450A1053
ACGLN,NASDAQ,USD,Arch Capital Group Ltd,USA,
ACGLO,NASDAQ,USD,Arch Capital Group Ltd.,USA,US03939A1079
ACGN,NASDAQ,USD,Aceragen Inc.,USA,US00445F1093
ACHC,NASDAQ,USD,Acadia Healthcare Company Inc,USA,US00404A1097
ACHL,NASDAQ,USD,Achilles Therapeutics PLC ADR,USA,US00449L1026
ACHR,NYSE,USD,Archer Aviation Inc,USA,US03945R1023
ACHV,NASDAQ,USD,Achieve Life Sciences Inc,USA,US0044685008
ACI,NYSE,USD,Albertsons Companies,USA,US0130911037
ACIC,NASDAQ,USD,American Coastal Insurance Corp,USA,US9107101027
ACIU,NASDAQ,USD,AC Immune Ltd,USA,CH0329023102
ACIW,NASDAQ,USD,ACI Worldwide Inc,USA,US0044981019
ACLS,NASDAQ,USD,Axcelis Technologies Inc,USA,US0545402085
ACLX,NASDAQ,USD,Arcellx Inc,USA,US03940C1009
ACM,NYSE,USD,Aecom Technology Corporation,USA,US00766T1007
ACMR,NASDAQ,USD,Acm Research Inc,USA,US00108J1097
ACN,NYSE,USD,Accenture plc,USA,IE00B4BNMY34
ACNB,NASDAQ,USD,ACNB Corporation,USA,US0008681092
ACNT,NASDAQ,USD,Synalloy Corporation,USA,
ACON,NASDAQ,USD,Aclarion Inc,USA,US6551871022
ACONW,NASDAQ,USD,Aclarion Inc,USA,
ACOR,NASDAQ,USD,Acorda Therapeutics Inc,USA,US00484M6012
ACR,NYSE,USD,Acres Commercial Realty Corp,USA,US00489Q1022
ACRE,NYSE,USD,Ares Commercial Real Estate,USA,US04013V1089
ACRO,NYSE,USD,Acropolis Infrastructure Acquisition Corp,USA,US0050291030
ACRS,NASDAQ,USD,Aclaris Therapeutics Inc,USA,US00461U1051
ACRV,NASDAQ,USD,Acrivon Therapeutics Inc. Common Stock,USA,
ACRX,NASDAQ,USD,AcelRx Pharmaceuticals Inc,USA,US00444T1007
ACST,NASDAQ,USD,Acasti Pharma Inc,USA,CA00430K8730
ACT,NASDAQ,USD,Enact Holdings Inc,USA,US29249E1091
ACTG,NASDAQ,USD,Acacia Research Corporation,USA,US0038813079
ACU,NYSE MKT,USD,Acme United Corporation,USA,US0048161048
ACVA,NASDAQ,USD,ACV Auctions Inc,USA,US00091G1040
ACXP,NASDAQ,USD,Acurx Pharmaceuticals LLC,USA,US00510M1045
ADAG,NASDAQ,USD,Adagene Inc,USA,US0053291078
ADAP,NASDAQ,USD,Adaptimmune Therapeutics Plc,USA,US00653A1079
ADBE,NASDAQ,USD,Adobe Systems Incorporated,USA,US00724F1012
ADC,NYSE,USD,Agree Realty Corporation,USA,US0084921008
ADCT,NYSE,USD,ADC Therapeutics SA,USA,CH0499880968
ADD,NASDAQ,USD,Color Star Technology Co. Ltd.,USA,
ADEA,NASDAQ,USD,ADEIA CORP,USA,
ADER,NASDAQ,USD,26 Capital Acquisition Corp,USA,US90138P1003
ADERU,NASDAQ,USD,26 Capital Acquisition Corp,USA,US90138P2092
ADERW,NASDAQ,USD,26 Capital Acquisition Corp,USA,
ADES,NASDAQ,USD,Advanced Emissions Solutions Inc,USA,US00770C1018
ADEX,NYSE MKT,USD,Adit EdTech Acquisition Cor,USA,US0070241023
ADI,NASDAQ,USD,Analog Devices Inc,USA,US0326541051
ADIL,NASDAQ,USD,Adial Pharmaceuticals Inc,USA,US00688A1060
ADM,NYSE,USD,Archer-Daniels-Midland Company,USA,US0394831020
ADMA,NASDAQ,USD,ADMA Biologics Inc,USA,US0008991046
ADMP,NASDAQ,USD,Adamis Pharma,USA,US00547W2089
ADN,NASDAQ,USD,Advent Technologies Holdings Inc,USA,US00788A1051
ADNT,NYSE,USD,Adient PLC,USA,IE00BD845X29
ADNWW,NASDAQ,USD,Advent Technologies Holdings Inc,USA,
ADOC,NASDAQ,USD,Edoc Acquisition Corp,USA,KYG4000A1022
ADOCR,NASDAQ,USD,Edoc Acquisition Corp,USA,
ADOCW,NASDAQ,USD,Edoc Acquisition Corp,USA,
ADP,NASDAQ,USD,Automatic Data Processing Inc,USA,US0530151036
ADPT,NASDAQ,USD,Adaptive Biotechnologies Corp,USA,US00650F1093
ADRT,NYSE MKT,USD,Ault Disruptive Technologies Corp,USA,US05150A1043
ADSE,NASDAQ,USD,Ads Tec Energy PLC,USA,IE000DU292E6
ADSEW,NASDAQ,USD,ADS-TEC ENERGY PLC Warrant,USA,
ADSK,NASDAQ,USD,Autodesk Inc,USA,US0527691069
ADT,NYSE,USD,ADT Inc,USA,US00090Q1031
ADTH,NASDAQ,USD,AdTheorent Holding Company Inc,USA,US00739D1090
ADTHW,NASDAQ,USD,AdTheorent Holding Company Inc,USA,
ADTN,NASDAQ,USD,ADTRAN Inc,USA,US00486H1059
ADTX,NASDAQ,USD,Aditxt Inc. ,USA,US0070251097
ADUS,NASDAQ,USD,Addus HomeCare Corporation,USA,US0067391062
ADV,NASDAQ,USD,Advantage Solutions Inc,USA,US00791N1028
ADVM,NASDAQ,USD,Adverum Biotechnologies Inc,USA,US00773U1088
ADXN,NASDAQ,USD,Addex Therapeutics Ltd,USA,US00654J1079
AE,NYSE MKT,USD,Adams Resources & Energy Inc,USA,US0063513081
AEAE,NASDAQ,USD,Altenergy Acquisition Corp,USA,US02157M1080
AEAEW,NASDAQ,USD,AltEnergy Acquisition Corp. Warrant,USA,
AEE,NYSE,USD,Ameren Corp,USA,US0236081024
AEFC,NYSE,USD,Aegon Funding Company LLC 5.10%,USA,
AEG,NYSE,USD,Aegon NV ADR,USA,US0079241032
AEHL,NASDAQ,USD,Antelope Enterprise Holdings Ltd,USA,VGG041JN1065
AEHR,NASDAQ,USD,Aehr Test Systems,USA,US00760J1088
AEI,NASDAQ,USD,Alset Ehome International Inc,USA,US02116A1043
AEIS,NASDAQ,USD,Advanced Energy Industries Inc,USA,US0079731008
AEL,NYSE,USD,American Equity Investment Life Holding Co,USA,US0256762065
AEM,NYSE,USD,Agnico Eagle Mines Limited,USA,CA0084741085
AEMD,NASDAQ,USD,Aethlon Medical Inc,USA,US00808Y3071
AENT,NASDAQ,USD,Alliance Entertainment Holding Corporation Class A Common Stock,USA,
AENZ,NYSE,USD,Aenza SAA,USA,US00776D1037
AEO,NYSE,USD,American Eagle Outfitters Inc,USA,US02553E1064
AEON,NYSE MKT,USD,"AEON Biopharma, Inc.",USA,US00775E1029
AEP,NASDAQ,USD,American Electric Power Company Inc,USA,US0255371017
AEPPZ,NASDAQ,USD,American Electric Power Company Inc,USA,US02557T3077
AER,NYSE,USD,AerCap Holdings NV,USA,NL0000687663
AES,NYSE,USD,The AES Corporation,USA,US00130H1059
AESI,NYSE,USD,Atlas Energy Solutions Inc.,USA,
AEVA,NYSE,USD,Aeva Technologies Inc,USA,US00835Q1031
AEY,NASDAQ,USD,ADDvantage Technologies Group Inc,USA,US0067433062
AEYE,NASDAQ,USD,AudioEye Inc,USA,US0507342014
AEZS,NASDAQ,USD,Aeterna Zentaris Inc,USA,CA0079754028
AFAR,NASDAQ,USD,Aura FAT Projects Acquisition Corp Class A Ordinary Shares,USA,KYG063621000
AFARW,NASDAQ,USD,Aura FAT Projects Acquisition Corp Warrant,USA,
AFBI,NASDAQ,USD,Affinity Bancshares Inc,USA,US00832E1038
AFCG,NASDAQ,USD,AFC Gamma Inc,USA,US00109K1051
AFG,NYSE,USD,American Financial Group Inc,USA,US0259321042
AFGB,NYSE,USD,American Financial Group Inc,USA,US0259328070
AFGC,NYSE,USD,American Financial Group Inc,USA,US0259328807
AFGD,NYSE,USD,American Financial Group Inc,USA,US0259328724
AFGE,NYSE,USD,American Financial Group AFGE,USA,US0259328641
AFIB,NASDAQ,USD,Acutus Medical Inc,USA,US0051111096
AFL,NYSE,USD,Aflac Incorporated,USA,US0010551028
AFMD,NASDAQ,USD,Affimed NV,USA,NL0010872420
AFRI,NASDAQ,USD,Forafric Global PLC Ordinary Shares,USA,GI000A3DNK69
AFRIW,NASDAQ,USD,Forafric Global PLC Warrants,USA,
AFRM,NASDAQ,USD,Affirm Holdings Inc,USA,US00827B1061
AFYA,NASDAQ,USD,Afya Ltd,USA,KYG011251066
AG,NYSE,USD,First Majestic Silver Corp,USA,CA32076V1031
AGAC,NYSE,USD,African Gold Acquisition Corp,USA,KYG0112R1083
AGAE,NASDAQ,USD,Allied Gaming & Entertainment Inc.,USA,US0191701095
AGBA,NASDAQ,USD,AGBA Acquisition Ltd,USA,VGG0120M1095
AGBAW,NASDAQ,USD,AGBA Acquisition Limited,USA,
AGCO,NYSE,USD,AGCO Corporation,USA,US0010841023
AGE,NYSE MKT,USD,AgeX Therapeutics Inc,USA,US00848H1086
AGEN,NASDAQ,USD,Agenus Inc,USA,US00847G7051
AGFY,NASDAQ,USD,Agrify Corp,USA,US00853E1073
AGI,NYSE,USD,Alamos Gold Inc,USA,CA0115321089
AGIL,NASDAQ,USD,AgileThought Inc,USA,US00857F1003
AGILW,NASDAQ,USD,AgileThought Inc,USA,
AGIO,NASDAQ,USD,Agios Pharm,USA,US00847X1046
AGL,NYSE,USD,agilon health Inc,USA,US00857U1079
AGLE,NASDAQ,USD,Aeglea Bio Therapeutics Inc,USA,US00773J1034
AGM,NYSE,USD,Federal Agricultural Mortgage,USA,US3131483063
AGM-A,NYSE,USD,Federal Agricultural Mortgage Corporation,USA,US3131481083
AGMH,NASDAQ,USD,AGM Group Holdings Inc Class A,USA,VGG0132V1058
AGNC,NASDAQ,USD,AGNC Investment Corp,USA,US00123Q1040
AGNCL,NASDAQ,USD,AGNC Investment Corp,USA,
AGNCM,NASDAQ,USD,AGNC Investment Corp,USA,
AGNCN,NASDAQ,USD,AGNC Investment Corp.,USA,US00123Q5009
AGNCO,NASDAQ,USD,AGNC Investment Corp,USA,
AGNCP,NASDAQ,USD,AGNC Investment Corp.,USA,
AGO,NYSE,USD,Assured Guaranty Ltd,USA,BMG0585R1060
AGR,NYSE,USD,Avangrid Inc,USA,US05351W1036
AGRIW,NASDAQ,USD,AgriFORCE  Growing Systems Ltd. Warrant,USA,
AGRO,NYSE,USD,Adecoagro SA,USA,LU0584671464
AGRX,NASDAQ,USD,Agile Thrpe,USA,US00847L2097
AGS,NYSE,USD,PlayAGS Inc,USA,US72814N1046
AGTI,NYSE,USD,Agiliti Inc,USA,US00848J1043
AGX,NYSE,USD,Argan Inc,USA,US04010E1091
AGYS,NASDAQ,USD,Agilysys Inc,USA,US00847J1051
AHCO,NASDAQ,USD,Adapthealth Corp,USA,US00653Q1022
AHG,NASDAQ,USD,Akso Health Group ADR,USA,US98422P1084
AHH,NYSE,USD,Armada Hflr Pr,USA,US04208T1088
AHI,NASDAQ,USD,Advanced Human Imaging Ltd ADR,USA,US00777C1045
AHT,NYSE,USD,Ashford Hospitality Trust Inc,USA,US0441031095
AI,NYSE,USD,C3 Ai Inc,USA,US12468P1049
AIB,NASDAQ,USD,AIB Acquisition Corp,USA,KYG0R45S1096
AIBBR,NASDAQ,USD,AIB Acquisition Corporation Right,USA,
AIC,NYSE,USD,Arlington Asset Investment Corp ELKS,USA,US0413565021
AIG,NYSE,USD,American International Group Inc,USA,US0268747849
AIH,NASDAQ,USD,Aesthetic Medical Intl Holding Ltd,USA,US00809M1045
AIHS,NASDAQ,USD,Senmiao Technology Ltd,USA,US8172252046
AIM,NYSE MKT,USD,AIM ImmunoTech Inc,USA,US00901B1052
AIMAW,NASDAQ,USD,Aimfinity Investment Corp. I Warrant,USA,
AIMD,NASDAQ,USD,Ainos Inc,USA,US00902F1057
AIMDW,NASDAQ,USD,Ainos Inc.,USA,
AIN,NYSE,USD,Albany International Corporation,USA,US0123481089
AINC,NYSE MKT,USD,Ashford Inc,USA,US0441041078
AIP,NASDAQ,USD,Arteris Inc,USA,US04302A1043
AIR,NYSE,USD,AAR Corp,USA,US0003611052
AIRC,NYSE,USD,Apartment Income REIT Corp,USA,US03750L1098
AIRG,NASDAQ,USD,Airgain Inc,USA,US00938A1043
AIRI,NYSE MKT,USD,Air Industries Group,USA,US00912N2053
AIRS,NASDAQ,USD,Airsculpt Technologies Inc,USA,US0094961002
AIRT,NASDAQ,USD,Air T Inc,USA,US0092071010
AIRTP,NASDAQ,USD,Air T Inc PR,USA,US00919P3029
AIT,NYSE,USD,Applied Industrial Technologies,USA,US03820C1053
AIU,NYSE,USD,Meta Data Ltd,USA,US68276W4006
AIV,NYSE,USD,Apartment Investment and Management Co,USA,US03748R7474
AIXI,NASDAQ,USD,XIAO-I Corporation American Depositary Shares,USA,
AIZ,NYSE,USD,Assurant Inc,USA,US04621X1081
AIZN,NYSE,USD,Assurant Inc,USA,US04621X3061
AJG,NYSE,USD,Arthur J Gallagher & Co,USA,US3635761097
AJX,NYSE,USD,Great Ajax Corp,USA,US38983D3008
AJXA,NYSE,USD,Great Ajax Corp. 7.25 CV SR NT 24,USA,US38983D4097
AKA,NYSE,USD,AKA Brands Holding Corp,USA,US00152K1016
AKAM,NASDAQ,USD,Akamai Technologies Inc,USA,US00971T1016
AKAN,NASDAQ,USD,Akanda Corp,USA,CA00971M1068
AKBA,NASDAQ,USD,Akebia Ther,USA,US00972D1054
AKLI,NASDAQ,USD,Akili Inc,USA,
AKO-A,NYSE,USD,Embotelladora Andina S.A,USA,US29081P2048
AKO-B,NYSE,USD,Embotelladora Andina S.A,USA,US29081P3038
AKR,NYSE,USD,Acadia Realty Trust,USA,US0042391096
AKRO,NASDAQ,USD,Akero Therapeutics Inc,USA,US00973Y1082
AKTS,NASDAQ,USD,Akoustis Technologies Inc,USA,US00973N1028
AKTX,NASDAQ,USD,Akari Therapeutics PLC,USA,US00972G1085
AKU,NASDAQ,USD,Akumin Inc,USA,CA01021F1099
AKYA,NASDAQ,USD,Akoya Biosciences Inc,USA,US00974H1041
AL,NYSE,USD,Air Lease Corporation,USA,US00912X3026
ALAR,NASDAQ,USD,Alarum Technologies Ltd.,USA,
ALB,NYSE,USD,Albemarle Corp,USA,US0126531013
ALBT,NASDAQ,USD,Avalon GloboCare Corp.,USA,
ALC,NYSE,USD,Alcon AG,USA,CH0432492467
ALCC,NYSE,USD,AltC Acquisition Corp,USA,US02156V1098
ALCO,NASDAQ,USD,Alico Inc,USA,US0162301040
ALCY,NASDAQ,USD,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,USA,
ALCYU,NASDAQ,USD,Alchemy Investments Acquisition Corp 1 Units,USA,
ALCYW,NASDAQ,USD,Alchemy Investments Acquisition Corp 1 Warrants,USA,
ALDX,NASDAQ,USD,Aldeyra The,USA,US01438T1060
ALE,NYSE,USD,Allete Inc,USA,US0185223007
ALEC,NASDAQ,USD,Alector Inc,USA,US0144421072
ALEX,NYSE,USD,Alexander & Baldwin Holdings Inc,USA,US0144911049
ALG,NYSE,USD,Alamo Group Inc,USA,US0113111076
ALGM,NASDAQ,USD,Allegro Microsystems Inc,USA,US01749D1054
ALGN,NASDAQ,USD,Align Technology Inc,USA,US0162551016
ALGS,NASDAQ,USD,Aligos Therapeutics Inc,USA,US01626L1052
ALGT,NASDAQ,USD,Allegiant Travel Company,USA,US01748X1028
ALHC,NASDAQ,USD,Alignment Healthcare LLC,USA,US01625V1044
ALIM,NASDAQ,USD,Alimera Sciences Inc,USA,US0162592028
ALIT,NYSE,USD,Alight Inc,USA,US01626W1018
ALK,NYSE,USD,Alaska Air Group Inc,USA,US0116591092
ALKS,NASDAQ,USD,Alkermes Plc,USA,IE00B56GVS15
ALKT,NASDAQ,USD,Alkami Technology Inc,USA,US01644J1088
ALL,NYSE,USD,The Allstate Corporation,USA,US0200021014
ALL-P-J,NYSE,USD,ALL-P-J,USA,
ALLE,NYSE,USD,Allegion PLC,USA,IE00BFRT3W74
ALLG,NYSE,USD,Allego US Inc,USA,NL0015000TA9
ALLK,NASDAQ,USD,Allakos Inc,USA,US01671P1003
ALLO,NASDAQ,USD,Allogene Therapeutics Inc,USA,US0197701065
ALLR,NASDAQ,USD,Allarity Therapeutics Inc,USA,US0167441049
ALLT,NASDAQ,USD,Allot Communications Ltd,USA,IL0010996549
ALLY,NYSE,USD,Ally Financial Inc,USA,US02005N1000
ALNT,NASDAQ,USD,Allient Inc.,USA,
ALNY,NASDAQ,USD,Alnylam Pharmaceuticals Inc,USA,US02043Q1076
ALOR,NASDAQ,USD,ALSP Orchid Acquisition I Corp,USA,KYG0231L1077
ALORW,NASDAQ,USD,ALSP Orchid Acquisition Corporation I Warrant,USA,
ALOT,NASDAQ,USD,AstroNova Inc,USA,US04638F1084
ALPN,NASDAQ,USD,Alpine Immune Sciences Inc,USA,US02083G1004
ALPP,NASDAQ,USD,Alpine 4 Holdings Inc,USA,US02083E1055
ALPS,NASDAQ,USD,Alpine Summit Energy Partners Inc,USA,
ALRM,NASDAQ,USD,Alarm.com Holdings Inc,USA,US0116421050
ALRN,NASDAQ,USD,Aileron Therapeutics Inc,USA,US00887A1051
ALRS,NASDAQ,USD,Alerus Financial Corp,USA,US01446U1034
ALSA,NASDAQ,USD,Alpha Star Acquisition Corp,USA,KYG0230C1087
ALSAR,NASDAQ,USD,Alpha Star Acquisition Corporation Rights,USA,
ALSAW,NASDAQ,USD,Alpha Star Acquisition Corporation Warrants,USA,
ALSN,NYSE,USD,Allison Transmission Holdings Inc,USA,US01973R1014
ALT,NASDAQ,USD,Altimmune Inc,USA,US02155H2004
ALTG,NYSE,USD,Alta Equipment Group Inc,USA,US02128L1061
ALTI,NASDAQ,USD,Alvarium Tiedemann Holdings Inc.,USA,
ALTO,NASDAQ,USD,Alto Ingredients Inc,USA,US0215131063
ALTR,NASDAQ,USD,Altair Engineering Inc,USA,US0213691035
ALTU,NASDAQ,USD,Altitude Acquisition Corp,USA,US02156Y1038
ALTUU,NASDAQ,USD,Altitude Acquisition Corp,USA,US02156Y2028
ALTUW,NASDAQ,USD,Altitude Acquisition Corp,USA,
ALUR,NYSE,USD,"Allurion Technologies, Inc.",USA,
ALV,NYSE,USD,Autoliv Inc,USA,US0528001094
ALVO,NASDAQ,USD,Alvotech,USA,LU2458332611
ALVOW,NASDAQ,USD,Alvotech Warrant,USA,
ALVR,NASDAQ,USD,Allovir Inc,USA,US0198181036
ALX,NYSE,USD,Alexanders Inc,USA,US0147521092
ALXO,NASDAQ,USD,Alx Oncology Holdings ,USA,US00166B1052
ALYA,NASDAQ,USD,Alithya Group inc Class A,USA,CA01643B1067
ALZN,NASDAQ,USD,Alzamend Neuro Inc,USA,US02262M3088
AM,NYSE,USD,Antero Midstream Partners LP,USA,US03676B1026
AMAL,NASDAQ,USD,Amalgamated Bank,USA,US0226711010
AMAM,NASDAQ,USD,Ambrx Biopharma Inc. American Depositary Shares,USA,US02290A1025
AMAO,NASDAQ,USD,American Acquisition Opportunity Inc,USA,US02369M1027
AMAOW,NASDAQ,USD,American Acquisition Opportunity Inc,USA,
AMAT,NASDAQ,USD,Applied Materials Inc,USA,US0382221051
AMBA,NASDAQ,USD,Ambarella Inc,USA,KYG037AX1015
AMBC,NYSE,USD,Ambac Financial Group Inc,USA,US0231398845
AMBI,NYSE MKT,USD,Ambipar Emergency Response,USA,
AMBO,NYSE MKT,USD,Ambow Education Holding Ltd,USA,US02322P2002
AMBP,NYSE,USD,Ardagh Metal Packaging SA,USA,LU2369833749
AMC,NYSE,USD,AMC Entertainment Holdings Inc,USA,US00165C1045
AMCR,NYSE,USD,Amcor PLC,USA,JE00BJ1F3079
AMCX,NASDAQ,USD,AMC Networks Inc,USA,US00164V1035
AMD,NASDAQ,USD,Advanced Micro Devices Inc,USA,US0079031078
AME,NYSE,USD,Ametek Inc,USA,US0311001004
AMED,NASDAQ,USD,Amedisys Inc,USA,US0234361089
AMEH,NASDAQ,USD,Apollo Medical Holdings Inc,USA,US03763A2078
AMG,NYSE,USD,Affiliated Managers Group Inc,USA,US0082521081
AMGN,NASDAQ,USD,Amgen Inc,USA,US0311621009
AMH,NYSE,USD,American Homes 4 Rent,USA,US02665T3068
AMH-P-G,NYSE,USD,AMH-P-G,USA,
AMH-P-H,NYSE,USD,AMH-P-H,USA,
AMK,NYSE,USD,AssetMark Financial Holdings Inc,USA,US04546L1061
AMKR,NASDAQ,USD,Amkor Technology Inc,USA,US0316521006
AMLI,NASDAQ,USD,American Lithium Corp. Common Stock,USA,
AMLX,NASDAQ,USD,Amylyx Pharmaceuticals Inc,USA,US03237H1014
AMN,NYSE,USD,AMN Healthcare Services Inc,USA,US0017441017
AMNB,NASDAQ,USD,American National Bankshares Inc,USA,US0277451086
AMOT,NASDAQ,USD,Allied Motion Technologies Inc,USA,US0193301092
AMP,NYSE,USD,Ameriprise Financial Inc,USA,US03076C1062
AMPE,NYSE MKT,USD,Ampio Pharm,USA,US03209T1097
AMPG,NASDAQ,USD,Amplitech Group Inc,USA,US03211Q2003
AMPGW,NASDAQ,USD,AmpliTech Group Inc,USA,
AMPH,NASDAQ,USD,Amphastar P,USA,US03209R1032
AMPL,NASDAQ,USD,Amplitude Inc,USA,US03213A1043
AMPS,NYSE,USD,Altus Power Inc,USA,US02217A1025
AMPX,NYSE,USD,Amprius Technologies Inc.,USA,
AMPY,NYSE,USD,Amplify Energy Corp,USA,US03212B1035
AMR,NYSE,USD,Alpha Metallurgical Resources Inc,USA,US0207641061
AMRC,NYSE,USD,Ameresco Inc,USA,US02361E1082
AMRK,NASDAQ,USD,Amark Preci,USA,US00181T1079
AMRN,NASDAQ,USD,Amarin Corporation PLC,USA,US0231112063
AMRX,NYSE,USD,Amneal Pharmaceuticals Inc Class A,USA,US03168L1052
AMS,NYSE MKT,USD,American Shared Hospital Srvcs,USA,US0295951059
AMSC,NASDAQ,USD,American Superconductor Corporation,USA,US0301112076
AMSF,NASDAQ,USD,AMERISAFE Inc,USA,US03071H1005
AMST,NASDAQ,USD,Amesite Operating Co,USA,US0310941051
AMSWA,NASDAQ,USD,American Software Inc,USA,US0296831094
AMT,NYSE,USD,American Tower Corp,USA,US03027X1000
AMTB,NYSE,USD,Amerant Bancorp Inc.,USA,US0235761014
AMTD,NYSE,USD,AMTD IDEA Group,USA,US00180G2057
AMTI,NASDAQ,USD,Applied Molecular Transport Inc,USA,US03824M1099
AMTX,NASDAQ,USD,Aemetis Inc,USA,US00770K2024
AMWD,NASDAQ,USD,American Woodmark Corporation,USA,US0305061097
AMWL,NYSE,USD,American Well Corp,USA,US03044L1052
AMX,NYSE,USD,America Movil SAB de CV ADR,USA,US02364W1053
AMZN,NASDAQ,USD,Amazon.com Inc,USA,US0231351067
AN,NYSE,USD,AutoNation Inc,USA,US05329W1027
ANAB,NASDAQ,USD,AnaptysBio Inc,USA,US0327241065
ANDE,NASDAQ,USD,The Andersons Inc,USA,US0341641035
ANEB,NASDAQ,USD,Anebulo Pharmaceuticals Inc,USA,US0345691036
ANET,NYSE,USD,Arista Networks,USA,US0404131064
ANF,NYSE,USD,Abercrombie & Fitch Company,USA,US0028962076
ANGH,NASDAQ,USD,Anghami De Inc,USA,KYG0369L1014
